 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source_Radius	FWHM_Mult	Source_Rad(base)	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	Source-Sky_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4
1	Tres-1_b_Light_30.000secs_R_00000001_out.fit	1.000000	0.000000	57301.546237	2457301.546237	2457301.546063	2457301.551880	NaN	1.163805	59.186137	-15.233191	30.000000	0.000000	0.000000	6.749911	1.400000	7.000000	13.000000	20.000000	0.555136	0.213983	1.661594	0.249140	0.010372	0.009034	0.049064	0.009537	53.522531	23.687048	33.865635	26.122169	53647.957388	679.520320	479.580821	515.785205	480.080821	508.714795	29781.888889	409.050348	72.807392	3556.000000	1002.133803	792.402191	4.326666	4.535242	4.118090	344.620193	0.987470	485.648063	591.527652	486.148063	432.972348	9456.287481	380.611351	24.844996	1698.000000	855.489362	788.423493	4.811707	5.123239	4.500174	28.618619	0.943222	501.795417	639.544416	502.295417	384.955584	33491.628571	410.551041	81.577259	4406.000000	1019.542254	783.685714	4.428383	4.769863	4.086904	5.642966	0.975560	747.799959	441.355790	748.299959	583.144210	10700.041335	385.137257	27.782410	1836.000000	858.916084	784.090620	4.637025	4.857115	4.416935	28.968036	0.968168
2	Tres-1_b_Light_30.000secs_R_00000001_out.fit	1.000000	0.000000	57301.546237	2457301.546237	2457301.546063	2457301.551880	NaN	1.163805	59.186137	-15.233191	30.000000	0.000000	0.000000	6.749911	1.400000	7.000000	13.000000	20.000000	0.555136	0.213983	1.661594	0.249140	0.010372	0.009034	0.049064	0.009537	53.522531	23.687048	33.865635	26.122169	53647.957388	679.520320	479.580821	515.785205	480.080821	508.714795	29781.888889	409.050348	72.807392	3556.000000	1002.133803	792.402191	4.326666	4.535242	4.118090	344.620193	0.987470	485.648063	591.527652	486.148063	432.972348	9456.287481	380.611351	24.844996	1698.000000	855.489362	788.423493	4.811707	5.123239	4.500174	28.618619	0.943222	501.795417	639.544416	502.295417	384.955584	33491.628571	410.551041	81.577259	4406.000000	1019.542254	783.685714	4.428383	4.769863	4.086904	5.642966	0.975560	747.799959	441.355790	748.299959	583.144210	10700.041335	385.137257	27.782410	1836.000000	858.916084	784.090620	4.637025	4.857115	4.416935	28.968036	0.968168
3	Tres-1_b_Light_30.000secs_R_00000002_out.fit	2.000000	0.000000	57301.546638	2457301.546638	2457301.546464	2457301.552281	NaN	1.165559	59.041419	-14.809517	30.000000	0.000000	0.000000	7.224386	1.400000	7.000000	13.000000	20.000000	0.576610	0.209230	1.812152	0.223349	0.004805	0.003893	0.024451	0.004023	120.011221	53.744040	74.113679	55.512967	132693.031160	751.006675	479.168843	516.024544	479.668843	508.475456	76512.177743	467.907593	163.519847	7163.000000	1167.257669	697.857805	4.687294	5.201171	4.173418	352.959014	0.950105	485.302206	591.879506	485.802206	432.620494	22959.557377	406.245513	56.516458	2479.000000	836.079268	696.081967	4.613316	5.126079	4.100552	348.719520	0.943460	501.434292	639.818837	501.934292	384.681163	85507.450161	477.641761	179.020046	7943.000000	1217.858896	693.273312	4.616383	5.125202	4.107564	355.807351	0.951535	747.415707	441.623862	747.915707	582.876138	24226.023622	413.320646	58.613147	2747.000000	828.420118	685.070866	4.586935	5.188650	3.985220	1.918486	0.933177
4	Tres-1_b_Light_30.000secs_R_00000003_out.fit	3.000000	0.000000	57301.547039	2457301.547039	2457301.546865	2457301.552682	NaN	1.167326	58.896621	-14.809517	30.000000	0.000000	0.000000	6.855678	1.400000	7.000000	13.000000	20.000000	0.585257	0.207192	1.800562	0.227657	0.007678	0.006395	0.039151	0.006477	76.226575	32.398093	45.990257	35.149824	76006.029237	689.183756	474.990220	515.978479	475.490220	508.521521	44483.078370	421.729534	105.477741	5566.000000	1031.959459	731.398119	4.367628	4.886954	3.848302	355.989370	0.943922	481.055701	591.792960	481.555701	432.707040	13044.991961	384.827272	33.898304	2054.000000	818.664430	731.114148	4.241320	4.944963	3.537677	354.904925	0.892356	497.218356	639.750262	497.718356	384.749738	48866.468468	428.096248	114.148322	5642.000000	1056.986667	731.210210	4.304600	4.836588	3.772613	358.501639	0.940568	743.207094	441.553116	743.707094	582.946884	14094.568807	378.966783	37.192096	2053.000000	821.684932	725.146789	4.380753	4.919146	3.842359	354.595075	0.939230
5	Tres-1_b_Light_30.000secs_R_00000004_out.fit	4.000000	0.000000	57301.547440	2457301.547440	2457301.547267	2457301.553083	NaN	1.169106	58.751820	-15.233191	30.000000	0.000000	0.000000	6.693821	1.400000	7.000000	13.000000	20.000000	0.559509	0.213534	1.807589	0.219835	0.007729	0.006555	0.040363	0.006616	72.390730	32.577475	44.783532	33.225877	66709.947209	620.930918	475.673008	516.071464	476.173008	508.428536	37324.810526	380.982088	97.969988	4251.000000	888.471831	625.621053	4.572303	4.841183	4.303422	355.031543	0.985841	481.714336	591.911318	482.214336	432.588682	11738.323077	342.948039	34.227701	1641.000000	705.992857	622.147692	4.342862	4.468273	4.217450	3.537320	0.996619	497.925927	639.811940	498.425927	384.688060	42949.366400	387.231747	110.913856	4511.000000	923.695035	619.089600	4.388228	4.695424	4.081032	352.679541	0.979263	744.017163	441.725161	744.517163	582.774839	12022.257732	343.501706	34.999121	1615.000000	713.335714	627.462445	4.638809	5.120323	4.157295	1.949069	0.957619
6	Tres-1_b_Light_30.000secs_R_00000005_out.fit	5.000000	0.000000	57301.547841	2457301.547841	2457301.547668	2457301.553484	NaN	1.170898	58.607068	-15.233191	30.000000	0.000000	0.000000	6.868472	1.400000	7.000000	13.000000	20.000000	0.542064	0.201198	1.981397	0.201801	0.003694	0.002959	0.021508	0.002972	146.748007	68.000697	92.124317	67.899393	150141.683525	667.873438	475.510397	516.083236	476.010397	508.416764	81386.409158	420.136931	193.714009	7268.000000	1085.251701	531.602659	4.600503	5.018713	4.182294	0.909606	0.967452	481.555629	591.925310	482.055629	432.574690	25148.352542	351.741809	71.496626	2416.000000	696.879195	528.098305	4.489217	4.763173	4.215261	23.995104	0.966988	497.721551	639.884404	498.221551	384.615596	99782.167939	444.467242	224.498362	8270.000000	1186.900662	526.091603	4.523762	4.941926	4.105598	0.323729	0.966394	743.765164	441.660134	744.265164	582.839866	25211.163043	353.244249	71.370343	2546.000000	722.891156	551.386646	4.482140	4.900393	4.063887	356.001364	0.965092
7	Tres-1_b_Light_30.000secs_R_00000006_out.fit	6.000000	0.000000	57301.548242	2457301.548242	2457301.548069	2457301.553885	NaN	1.172704	58.462313	-15.233191	30.000000	0.000000	0.000000	6.499220	1.400000	7.000000	13.000000	20.000000	0.588020	0.209427	1.764929	0.232302	0.005033	0.003980	0.024191	0.004195	116.830024	52.618428	72.956601	55.376312	108312.844485	632.626840	474.285542	515.841619	474.785542	508.658381	63690.103448	398.508044	159.821375	6360.000000	1065.774436	586.901478	4.412079	4.713836	4.110321	3.476307	0.981187	480.376102	591.688124	480.876102	432.811876	18755.719807	338.414803	55.422280	2213.000000	727.731343	587.763285	4.369710	4.540175	4.199245	9.255057	0.993251	496.571089	639.631609	497.071089	384.868391	69139.022388	405.974603	170.303812	6787.000000	1101.918519	589.777612	4.299421	4.608251	3.990591	7.020773	0.978295	742.432906	441.459812	742.932906	583.040188	20418.102290	347.673354	58.727832	2351.000000	755.386861	606.349618	4.423788	4.706938	4.140638	349.718367	0.981459
8	Tres-1_b_Light_30.000secs_R_00000007_out.fit	7.000000	0.000000	57301.548644	2457301.548644	2457301.548470	2457301.554287	NaN	1.174523	58.317512	-14.809517	30.000000	0.000000	0.000000	7.837337	1.400000	7.000000	13.000000	20.000000	0.579153	0.194404	1.944734	0.214812	0.011798	0.009864	0.069674	0.010326	49.087767	19.708557	27.912102	20.802701	52539.227798	744.640257	470.075640	515.597209	470.575640	508.902791	30428.238806	445.262170	68.337804	2669.000000	832.689119	675.029851	5.027198	5.836834	4.217561	5.753912	0.897344	476.291251	591.373579	476.791251	433.126421	8551.392581	416.987131	20.507570	1282.000000	717.542105	672.534776	4.104468	5.356760	2.852177	5.984875	0.674358	492.306586	639.415699	492.806586	385.084301	34697.473282	445.354125	77.909850	2980.000000	850.152632	667.534351	4.912059	5.719704	4.104414	0.837964	0.897393	738.359926	441.186451	738.859926	583.313549	9290.361934	426.931550	21.760776	1350.000000	746.303665	697.663027	4.682136	5.479094	3.885179	355.263702	0.887498
9	Tres-1_b_Light_30.000secs_R_00000008_out.fit	8.000000	0.000000	57301.549045	2457301.549045	2457301.548871	2457301.554688	NaN	1.176354	58.172761	-14.809517	30.000000	0.000000	0.000000	6.854563	1.400000	7.000000	13.000000	20.000000	0.522024	0.197943	1.910364	0.217084	0.010946	0.009661	0.066047	0.010026	47.691377	20.488931	28.924222	21.651956	47040.822798	653.769944	468.523702	515.475158	469.023702	509.024842	24556.416667	385.552140	63.691559	3268.000000	870.937931	701.583333	4.198356	4.660299	3.736414	2.027748	0.952488	474.559442	591.255997	475.059442	433.244003	7772.816856	363.810840	21.364995	1553.000000	749.234483	695.628849	4.935975	5.338680	4.533271	7.900026	0.971622	490.793234	639.239849	491.293234	385.260151	30877.614907	398.249935	77.533258	4131.000000	896.406667	690.555901	4.400805	4.954053	3.847558	3.232959	0.937948	736.751363	441.112400	737.251363	583.387600	8390.391036	369.396536	22.713778	1551.000000	748.926667	692.990726	4.603710	4.631434	4.575986	39.890560	0.995392
10	Tres-1_b_Light_30.000secs_R_00000009_out.fit	9.000000	0.000000	57301.549446	2457301.549446	2457301.549273	2457301.555089	NaN	1.178199	58.027969	-14.809517	30.000000	0.000000	0.000000	7.182047	1.400000	7.000000	13.000000	20.000000	0.519891	0.208940	1.983041	0.193886	0.010612	0.009513	0.067467	0.009353	48.989125	21.963846	29.392932	20.730726	50848.446450	680.643550	467.134147	515.244461	467.634147	509.255539	26435.630094	407.400684	64.888527	2876.000000	850.030864	686.847962	4.715117	5.198505	4.231729	359.528445	0.958818	473.420449	591.105660	473.920449	433.394340	8788.086957	382.430312	22.979577	1395.000000	732.160494	677.913043	4.795116	5.201243	4.388990	350.185828	0.968116	489.427668	639.094542	489.927668	385.405458	33802.602484	412.614290	81.923005	3211.000000	881.555556	672.897516	4.800500	5.364518	4.236482	1.913595	0.946036	735.517499	440.767642	736.017499	583.732358	8257.757009	383.108530	21.554615	1283.000000	733.635802	682.661994	4.351546	4.755869	3.947224	351.592147	0.962956
