 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	X(IJ)	Y(IJ)	X(FITS)	Y(FITS)	Source-Sky	Source_Error	Source_SNR	Peak	Mean	Sky/Pixel	Width	X-Width	Y-Width	Angle	Roundness
16	pulsar-116.fit	16.000000	0.000000	56941.432700	2456941.432700	NaN	NaN	NaN	NaN	NaN	-24.312500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1291.339527	2432.804804	0.530803	2025.000000	2000.086748	1999.523828	30.470535	15.947853	44.993216	62.502898	-0.833506
17	pulsar-117.fit	17.000000	0.000000	56941.432711	2456941.432711	NaN	NaN	NaN	NaN	NaN	-24.312500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	4503289.272337	3220.247388	1398.429602	10209.000000	3971.496077	2008.423159	24.343381	22.885452	25.801310	77.597615	0.982712
18	pulsar-118.fit	18.000000	0.000000	56941.432723	2456941.432723	NaN	NaN	NaN	NaN	NaN	-24.312500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1182.015948	2429.038699	0.486619	2023.000000	2000.329991	1999.814727	30.538306	19.602848	41.473763	88.204040	-1.491483
19	pulsar-119.fit	19.000000	0.000000	56941.432746	2456941.432746	NaN	NaN	NaN	NaN	NaN	-24.375000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	2001.562320	2419.444206	0.827282	2025.000000	1999.928945	1999.056424	36.246142	31.091458	41.400826	274.359334	0.920449
20	pulsar-120.fit	20.000000	0.000000	56941.432758	2456941.432758	NaN	NaN	NaN	NaN	NaN	-24.375000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1481.125417	2417.256141	0.612730	2023.000000	2000.183086	1999.537434	31.865383	24.855271	38.875494	60.509089	0.336740
21	pulsar-121.fit	21.000000	0.000000	56941.432769	2456941.432769	NaN	NaN	NaN	NaN	NaN	-24.375000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1209.547397	2424.925920	0.498798	2024.000000	2000.004795	1999.477529	33.749403	25.683902	41.814904	87.846223	0.794408
22	pulsar-122.fit	22.000000	0.000000	56941.432781	2456941.432781	NaN	NaN	NaN	NaN	NaN	-24.375000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	2400.480043	2420.188347	0.991857	2026.000000	2000.206190	1999.159773	34.205651	29.358009	39.053293	80.374870	0.913378
23	pulsar-123.fit	23.000000	0.000000	56941.432792	2456941.432792	NaN	NaN	NaN	NaN	NaN	-24.375000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1799.099165	2429.139217	0.740632	2027.000000	2000.610724	1999.826461	36.280994	30.969928	41.592060	82.282416	0.911579
24	pulsar-124.fit	24.000000	0.000000	56941.432804	2456941.432804	NaN	NaN	NaN	NaN	NaN	-24.437500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	5019376.229680	3299.589225	1521.212456	11021.000000	4197.344377	2009.298941	24.336560	22.877778	25.795342	77.464487	0.982608
25	pulsar-125.fit	25.000000	0.000000	56941.432827	2456941.432827	NaN	NaN	NaN	NaN	NaN	-24.437500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	2383.419781	2419.280579	0.985177	2023.000000	2000.162162	1999.123182	33.399944	32.757084	34.042804	74.735107	0.998004
