 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source_Radius	FWHM_Mult	Source_Rad(base)	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	Source-Sky_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4
143	tres-3_Light_20.000secs_R_00000143_out.fit	143.000000	0.000000	57280.609179	2457280.609179	2457280.609064	2457280.614929	NaN	1.189497	57.163398	-14.809517	20.000000	0.000000	0.000000	6.329438	1.400000	6.000000	11.000000	17.000000	0.864269	0.546678	0.876358	0.218760	0.009100	0.009323	0.014267	0.005678	94.971755	58.635463	61.427221	38.528028	50495.754453	415.308980	351.054196	482.035363	351.554196	542.464637	43641.937238	286.925986	152.101725	3782.000000	615.719008	255.041841	4.352623	4.305168	4.400078	296.958047	0.998630	225.661245	592.926209	226.161245	431.573791	17847.886994	242.125187	73.713467	1734.000000	393.110236	252.575693	4.418375	4.260361	4.576388	279.013747	0.994357	621.683331	391.380398	622.183331	633.119602	23584.180467	253.776178	92.932996	2225.000000	438.763780	253.061571	4.354159	4.345275	4.363042	69.871676	0.999971	371.371439	365.944959	371.871439	658.555041	9063.686992	222.383890	40.756941	985.000000	324.070866	252.703252	4.582069	4.419538	4.744600	285.309933	0.993221
144	tres-3_Light_20.000secs_R_00000144_out.fit	144.000000	0.000000	57280.609466	2457280.609466	2457280.609350	2457280.615215	NaN	1.190879	57.060153	-15.233191	20.000000	0.000000	0.000000	6.350824	1.400000	6.000000	11.000000	17.000000	0.876094	0.547893	0.883579	0.214984	0.009257	0.009354	0.014435	0.005635	94.636564	58.573957	61.210536	38.153176	50142.546601	413.487203	350.746790	481.980606	351.246790	542.519394	43929.608696	290.253452	151.349134	4123.000000	602.341270	253.693582	4.386263	4.451900	4.320626	15.709663	0.998771	225.264405	592.850802	225.764405	431.649198	17748.474333	240.541860	73.785387	1679.000000	393.690476	252.829569	4.420271	4.387114	4.453428	86.802291	0.999772	621.447461	391.231870	621.947461	633.268130	23521.664544	254.357117	92.474961	2297.000000	436.625000	252.861996	4.404750	4.424688	4.384812	324.406604	0.999212	371.027163	365.821789	371.527163	658.678211	8872.407725	220.031220	40.323404	948.000000	323.330645	251.778970	4.659371	4.332397	4.986344	273.289254	0.980235
145	tres-3_Light_20.000secs_R_00000145_out.fit	145.000000	0.000000	57280.609748	2457280.609748	2457280.609632	2457280.615497	NaN	1.192248	56.958383	-15.233191	20.000000	0.000000	0.000000	7.446367	1.400000	6.000000	11.000000	17.000000	0.872371	0.524215	0.902117	0.222203	0.010319	0.010306	0.016793	0.006624	84.541189	50.865818	53.718853	33.542698	51296.820263	482.162881	346.204377	482.005006	346.704377	542.494994	44749.843220	321.342088	139.259203	3150.000000	516.194118	252.959746	4.736188	5.219327	4.253048	349.633907	0.953387	220.815223	592.891473	221.315223	431.608527	17642.233333	278.903123	63.255775	1328.000000	353.011561	251.033333	4.717822	5.229360	4.206284	348.148096	0.945206	616.834670	391.350535	617.334670	633.149465	24328.545455	292.318996	83.226016	1790.000000	390.565714	251.545455	4.845727	5.436830	4.254624	355.612329	0.940835	366.589262	365.901403	367.089262	658.598597	9326.041475	263.141971	35.441102	814.000000	303.622093	249.400922	4.985515	5.389818	4.581211	344.364553	0.964461
146	tres-3_Light_20.000secs_R_00000146_out.fit	146.000000	0.000000	57280.610034	2457280.610034	2457280.609918	2457280.615783	NaN	1.193644	56.855181	-15.233191	20.000000	0.000000	0.000000	6.164817	1.400000	6.000000	11.000000	17.000000	0.887521	0.546476	0.898274	0.209813	0.009254	0.009202	0.014462	0.005560	95.905657	59.387556	62.112593	37.738827	49689.133595	403.793716	343.518129	481.559176	344.018129	542.940824	44100.128035	288.113156	153.065305	4223.000000	618.157025	253.693157	4.331160	4.322131	4.340188	310.982906	0.999110	218.054462	592.498064	218.554462	432.001936	17558.580247	234.970071	74.726880	1670.000000	397.875000	251.553498	4.410196	4.477593	4.342799	332.252154	0.997090	614.188940	390.989310	614.688940	633.510690	23513.183369	246.587553	95.354300	2073.000000	451.686441	252.422175	4.496487	4.479199	4.513775	59.077266	0.999734	363.859441	365.453998	364.359441	659.046002	8617.369979	216.870952	39.735012	980.000000	320.868852	250.234672	4.348498	4.279996	4.416999	72.551662	0.998525
147	tres-3_Light_20.000secs_R_00000147_out.fit	147.000000	0.000000	57280.610319	2457280.610319	2457280.610204	2457280.616069	NaN	1.195045	56.752020	-15.233191	20.000000	0.000000	0.000000	6.805401	1.400000	6.000000	11.000000	17.000000	0.870997	0.537414	0.907799	0.211544	0.009744	0.009801	0.015777	0.006016	89.391755	54.832680	57.540477	35.165901	50241.110672	440.446442	344.439845	481.516169	344.939845	542.983831	43759.878924	304.086594	143.905979	3387.000000	555.213793	253.421525	4.607387	4.713210	4.501565	18.695380	0.996661	219.024007	592.481844	219.524007	432.018156	17562.147059	255.854325	68.641197	1446.000000	371.273973	250.985294	4.629272	4.861193	4.397351	353.421593	0.989465	615.102485	390.938193	615.602485	633.561807	23906.515337	269.211132	88.802106	1733.000000	413.364865	251.834356	4.672206	4.982187	4.362226	2.848775	0.982373	364.785790	365.522457	365.285790	658.977543	8772.448276	236.763595	37.051508	867.000000	311.430556	250.510776	4.700891	4.887413	4.514368	354.837562	0.993514
148	tres-3_Light_20.000secs_R_00000148_out.fit	148.000000	0.000000	57280.610606	2457280.610606	2457280.610490	2457280.616355	NaN	1.196456	56.648743	-15.233191	20.000000	0.000000	0.000000	6.562590	1.400000	6.000000	11.000000	17.000000	0.894669	0.536598	0.906435	0.212603	0.009984	0.009866	0.015837	0.006031	89.614419	54.387108	57.235404	35.251230	49301.054635	434.568058	344.679979	481.286445	345.179979	543.213555	44108.121901	301.825452	146.137848	3520.000000	598.807407	272.080579	4.542575	4.616251	4.468899	0.073024	0.998948	219.238233	592.317830	219.738233	432.182170	17216.497925	253.697733	67.862246	1592.000000	396.882353	270.290456	4.491411	4.592745	4.390078	332.094265	0.993558	615.285573	390.724492	615.785573	633.775508	23440.714286	265.432072	88.311537	1989.000000	446.577778	272.942857	4.607041	4.787762	4.426319	357.508974	0.993817	365.062712	365.191738	365.562712	659.308262	8643.842424	232.449290	37.185927	891.000000	330.985075	266.478788	4.606963	4.753499	4.460427	349.291107	0.995340
149	tres-3_Light_20.000secs_R_00000149_out.fit	149.000000	0.000000	57280.610892	2457280.610892	2457280.610776	2457280.616641	NaN	1.197872	56.545586	-14.809517	20.000000	0.000000	0.000000	6.365649	1.400000	6.000000	11.000000	17.000000	0.882452	0.524778	0.938993	0.207095	0.009739	0.009511	0.016198	0.005938	90.612270	55.175476	57.971008	34.877035	49486.484561	429.533611	343.277314	481.298881	343.777314	543.201119	43669.452675	297.641221	146.718430	3803.000000	618.867188	277.699588	4.454492	4.434133	4.474851	306.178460	0.999090	217.885692	592.213510	218.385692	432.286490	17031.611231	247.743751	68.746885	1595.000000	411.746032	276.574514	4.428173	4.462674	4.393672	20.385626	0.999577	613.945674	390.674330	614.445674	633.825670	23964.745011	263.582762	90.919242	2000.000000	464.093750	276.869180	4.623621	4.586447	4.660794	304.253603	0.998074	363.516425	365.334911	364.016425	659.165089	8490.128319	231.616675	36.655946	974.000000	334.992308	269.683628	4.538556	4.418861	4.658252	282.587958	0.996608
150	tres-3_Light_20.000secs_R_00000150_out.fit	150.000000	0.000000	57280.611178	2457280.611178	2457280.611062	2457280.616927	NaN	1.199296	56.442384	-15.233191	20.000000	0.000000	0.000000	6.191507	1.400000	6.000000	11.000000	17.000000	0.857167	0.536544	0.897758	0.216173	0.009113	0.009191	0.014647	0.005629	94.061099	58.380231	61.293405	38.405265	50355.050944	414.380670	342.519698	481.371300	343.019698	543.128700	43162.666667	290.530069	148.565230	4483.000000	638.235294	275.523810	4.330853	4.257129	4.404577	286.246903	0.998372	217.113442	592.280574	217.613442	432.219426	17583.427975	240.770793	73.029738	1772.000000	423.542373	274.530271	4.393441	4.348521	4.438362	305.908484	0.995707	613.278166	390.549130	613.778166	633.950870	23821.084507	255.305919	93.304082	2377.000000	476.058333	277.549296	4.363695	4.371829	4.355560	318.662623	0.999145	362.845346	365.249918	363.345346	659.250082	8950.538462	220.362548	40.617331	1090.000000	345.313559	269.461538	4.364763	4.238003	4.491522	291.579804	0.993670
151	tres-3_Light_20.000secs_R_00000151_out.fit	151.000000	0.000000	57280.611464	2457280.611464	2457280.611348	2457280.617213	NaN	1.200727	56.339195	-15.233191	20.000000	0.000000	0.000000	6.676949	1.400000	6.000000	11.000000	17.000000	0.872130	0.537448	0.918431	0.207274	0.009948	0.010009	0.016343	0.006173	87.668545	53.696904	56.196409	33.575206	49874.857095	447.469492	338.759595	481.124897	339.259595	543.375103	43497.354839	306.390974	141.966828	3543.000000	587.185714	276.490323	4.564238	4.705897	4.422579	355.330423	0.996050	213.285718	592.123573	213.785718	432.376427	17434.837161	258.681044	67.398975	1497.000000	397.950000	273.415449	4.561408	4.704167	4.418650	2.352109	0.996063	609.386775	390.474436	609.886775	634.025564	23877.117647	272.650137	87.574200	2001.000000	448.985714	278.434874	4.635610	4.893823	4.377397	8.544964	0.986500	359.110250	365.046580	359.610250	659.453420	8562.902287	242.847620	35.260392	888.000000	328.805556	269.340956	4.531797	4.773110	4.290485	355.107425	0.988387
152	tres-3_Light_20.000secs_R_00000152_out.fit	152.000000	0.000000	57280.611746	2457280.611746	2457280.611630	2457280.617495	NaN	1.202146	56.237409	-14.809517	20.000000	0.000000	0.000000	5.993350	1.400000	6.000000	11.000000	17.000000	0.865539	0.535620	0.905648	0.213531	0.009109	0.009161	0.014739	0.005589	95.016655	58.469840	61.445188	38.208804	49681.988936	407.695218	338.541853	480.808768	339.041853	543.691232	43001.698925	283.369305	151.751436	4285.000000	665.036364	274.111828	4.176740	4.183193	4.170287	320.185166	0.999705	213.137600	591.749532	213.637600	432.750468	17328.946502	237.288271	73.029090	1851.000000	424.678261	273.991770	4.227811	4.308131	4.147491	336.602557	0.996922	609.259039	390.094590	609.759039	634.405410	23611.073684	251.003223	94.066815	2282.000000	481.000000	275.686316	4.313702	4.367766	4.259638	329.388994	0.997290	358.905755	364.755369	359.405755	659.744631	8741.968750	216.580352	40.363628	1017.000000	343.660870	267.643750	4.274123	4.264767	4.283478	59.594875	0.999919
